"","age","black","south","kww","iq","married","exper","region","educ","wage"
"1",29,1,0,15,102.449781659389,1,16,"1",7,27.2465622012171
"2",27,0,0,35,93,1,9,"1",12,23.9153154700255
"3",34,0,0,42,103,1,16,"1",12,35.8481280676297
"4",27,0,0,25,88,1,10,"2",11,12.4300011450144
"5",34,0,0,34,108,1,16,"2",12,36.2458843134239
"6",26,0,0,38,85,1,8,"2",12,24.8600023373785
"7",33,0,0,41,119,1,9,"2",18,28.0918032721131
"8",29,0,0,46,108,1,9,"2",14,30.2297589323757
"9",28,0,0,32,96,0,10,"2",12,21.1310009593587
"10",29,0,0,34,97,1,11,"2",12,25.6057987294393
"11",28,0,0,29,84,1,13,"9",9,11.1870011165716
"12",26,0,0,34,89,1,8,"2",12,19.8880013476145
"13",24,0,0,22,93,1,7,"2",11,20.733241619213
"14",30,0,0,27,74,1,13,"2",11,10.7892374545412
"15",31,1,0,43,116,1,9,"2",16,44.4496808940865
"16",24,0,0,36,102.449781659389,0,4,"2",14,14.9160012497365
"17",34,0,0,40,93,1,16,"2",12,17.2031218867933
"18",29,0,0,35,100,1,9,"2",14,32.7157584378265
"19",26,0,0,24,91,0,10,"2",10,28.5890021839181
"20",32,0,0,35,88,1,14,"2",12,32.2682850360505
"21",32,0,1,43,102.449781659389,1,8,"1",18,46.9356847092443
"22",34,0,0,50,114,1,10,"1",18,30.5280770368857
"23",32,0,0,37,111,1,11,"1",15,36.0967253583507
"24",28,0,0,44,102.449781659389,1,10,"1",12,30.0308737515759
"25",32,0,0,44,95,1,14,"1",12,34.4559576199494
"26",34,0,0,44,132,1,10,"1",18,69.6079926048075
"27",26,0,0,27,102.449781659389,0,8,"1",12,14.9160012497365
"28",32,0,0,38,109,0,8,"2",18,89.4960094439499
"29",25,0,0,43,108,1,7,"1",12,20.5343583699679
"30",29,0,0,45,102,1,9,"1",14,31.4230356440386
"31",25,0,0,30,106,1,7,"2",12,10.3417616819713
"32",25,1,0,40,104,0,7,"2",12,22.722039755346
"33",24,0,0,24,119,1,2,"2",16,40.9692769692218
"34",34,0,0,47,122,1,10,"2",18,28.6884451313709
"35",28,0,0,32,90,1,11,"2",11,12.6786004458283
"36",30,0,0,47,118,1,8,"2",16,47.8306310311519
"37",31,0,0,37,105,1,15,"2",10,46.9356847092443
"38",34,0,0,43,115,1,10,"2",18,56.9791287327588
"39",27,0,0,16,102.449781659389,1,15,"2",6,16.1092813394168
"40",24,1,0,27,65,0,7,"2",11,11.6842017819847
"41",34,0,0,45,120,1,16,"2",12,49.7200047694565
"42",26,0,0,31,86,0,11,"2",9,23.9153154700255
"43",32,0,0,39,109,1,11,"2",15,31.0252856612722
"44",34,0,0,36,72,1,17,"2",11,32.3180070151516
"45",24,1,0,31,102.449781659389,0,6,"2",12,17.1036772838037
"46",24,0,1,33.540668241647,102.449781659389,0,2,"2",16,18.8935997929227
"47",24,0,0,25,101,1,6,"2",12,17.551158171081
"48",25,0,0,29,105,0,6,"2",13,32.765482471232
"49",28,0,0,48,136,1,5,"2",17,30.8761223388925
"50",25,0,0,40,101,1,7,"2",12,21.8768021688112
"51",26,1,0,34,96,0,8,"2",12,36.6933600061497
"52",31,1,1,36,102.449781659389,1,14,"2",11,13.9215981023282
"53",24,0,0,34,102.449781659389,1,8,"2",10,21.5784749501819
"54",27,0,0,34,101,1,9,"2",12,35.0526060411907
"55",27,0,0,32,91,1,9,"2",12,21.1310009593587
"56",24,0,0,35,102.449781659389,1,6,"2",12,28.3901203274914
"57",30,0,0,52,115,0,8,"2",16,26.7493580209154
"58",32,0,0,49,113,1,10,"2",16,36.7928061179005
"59",32,0,0,43,123,1,13,"2",13,33.4615641236735
"60",34,0,0,36,95,1,16,"2",12,38.2346833385792
"61",24,0,0,26,102,1,6,"2",12,29.4342441213336
"62",24,1,0,15,102.449781659389,0,9,"2",9,10.5903620810452
"63",34,0,0,50,145,1,12,"2",16,77.7123722297111
"64",28,0,0,35,114,1,6,"2",16,38.483275268525
"65",26,0,1,35,113,1,8,"2",12,29.8320025562927
"66",24,0,0,24,102.449781659389,0,0,"2",18,34.4559576199494
"67",31,0,0,40,93,0,12,"2",13,28.3404001975114
"68",28,0,0,38,102.449781659389,0,8,"2",14,21.5287623841516
